0StdReturn,1MaxReturn,0Entropy,0AveragePolicyStd,1AverageReturn,0PolicyExecTime,LossBefore,1NumTrajs,0Perplexity,ItrTime,0AverageReturn,0ProcessExecTime,1MinReturn,1AveragePolicyStd,1ExplainedVariance,1ProcessExecTime,MeanKLBefore,0NumTrajs,LossAfter,dLoss,1Entropy,1StdReturn,MeanKL,0MinReturn,Time,0EnvExecTime,ComputeUpdatedDistTime,0MaxReturn,0ExplainedVariance,1Perplexity,1PolicyExecTime,1EnvExecTime
225.689314472,2700.0,1.93045,0.635859,750.916666667,14.943202495574951,3.25962901115e-09,1200,6.89264,72.61750340461731,41.0,0.6574652194976807,0.0,0.63754,0.478291688806,0.6095380783081055,-1.4901156753e-08,1200,-0.00268715363927,0.0026871568989,1.93549,933.353716295,0.00579653820023,0.0,3388.3272907733917,14.946802377700806,0.08234167098999023,2100.0,0.0901584390494,6.92742,23.684751749038696,14.247329950332642
204.541764276,2900.0,1.93317,0.636829,783.916666667,15.665225744247437,1.33877620101e-09,1200,6.91139,73.67851090431213,36.0,0.6881184577941895,0.0,0.636208,0.469563658984,0.6056838035583496,0.0,1200,-0.00372564978898,0.00372565112775,1.9312,1030.38811121,0.00887673441321,0.0,3463.8853707313538,15.669413805007935,0.08149242401123047,1900.0,0.10690457368,6.89776,23.54564619064331,14.31838870048523
184.354052482,2900.0,1.896,0.625019,1041.91666667,15.918489217758179,1.04409991764e-09,1200,6.65918,73.98874378204346,30.5,0.6741318702697754,0.0,0.625529,0.476938760357,0.6260712146759033,-7.45057793239e-09,1200,-0.00692531792447,0.00692531896857,1.89744,1049.42904781,0.00964246783406,0.0,3539.9440217018127,15.049492835998535,0.08620786666870117,1800.0,0.0808680380607,6.66882,23.896819591522217,14.674615859985352
204.588187315,2900.0,1.87355,0.618173,876.166666667,16.295361280441284,-4.42378222942e-09,1200,6.51136,74.60206460952759,36.0833333333,0.6874406337738037,0.0,0.618339,0.447838662815,0.6338784694671631,0.0,1200,-0.00488417502493,0.00488417060114,1.87376,1048.3313593,0.00649272510782,0.0,3616.554721593857,15.31789493560791,0.0947422981262207,1800.0,0.0940626814884,6.51273,23.845141649246216,14.639905214309692
177.912587775,2800.0,1.87357,0.618212,1036.75,16.432477951049805,-1.16415321827e-09,1200,6.51153,75.11740851402283,27.3333333333,0.6899843215942383,0.0,0.619415,0.530219037236,0.6313824653625488,0.0,1200,-0.00526172854006,0.00526172737591,1.87756,1080.59756809,0.00679055321962,0.0,3693.902407169342,15.424582958221436,0.08047890663146973,1700.0,0.0728829592278,6.53754,24.140504360198975,14.672021865844727
121.995873109,2700.0,1.85028,0.611161,471.916666667,15.929750204086304,-2.2555468604e-09,1200,6.3616,73.66682553291321,16.0833333333,0.661266565322876,0.0,0.613362,0.451410759947,0.6268894672393799,0.0,1200,-0.00298781506717,0.00298781281163,1.85728,780.717400679,0.00428655138239,0.0,3769.4560260772705,15.009515523910522,0.07889771461486816,1500.0,0.0542774177892,6.40631,23.759982585906982,14.573305130004883
159.332788528,2700.0,1.8472,0.610255,856.416666667,16.097090482711792,-1.86264514923e-09,1200,6.34201,74.63921046257019,24.25,0.679194450378418,0.0,0.610432,0.510607131845,0.6346683502197266,0.0,1200,-0.00490928441286,0.00490928255022,1.84786,1019.39957478,0.00718789640814,0.0,3846.138555288315,15.174139499664307,0.07814621925354004,1900.0,0.0757529340777,6.34625,24.046061038970947,14.787462711334229
125.999090605,2800.0,1.8192,0.601823,936.75,15.899029016494751,-2.32830643654e-10,1200,6.16695,74.1645040512085,15.25,0.6705012321472168,0.0,0.603077,0.524229952924,0.6377818584442139,0.0,1200,-0.00737320445478,0.00737320422195,1.82361,1018.11481221,0.00898685120046,0.0,3922.382108449936,14.915395736694336,0.09586620330810547,1800.0,0.0536950091789,6.19415,24.04504895210266,14.798446416854858
96.8500774393,2400.0,1.78477,0.591816,570.666666667,15.85944390296936,-6.98491930962e-10,1200,5.95821,74.85120034217834,9.75,0.6549599170684814,0.0,0.592992,0.473268128301,0.6599454879760742,0.0,1200,-0.00728541007265,0.00728540937416,1.78875,779.74753749,0.00772490585223,0.0,3998.874160051346,14.774081230163574,0.10414481163024902,1500.0,0.0446280698156,5.98199,24.590921878814697,15.17952299118042
87.7068586574,2400.0,1.7732,0.588615,313.916666667,15.638978719711304,-5.70435076952e-09,1200,5.88967,73.70998644828796,9.08333333333,0.6384503841400146,0.0,0.588156,0.418061417748,0.6472578048706055,0.0,1200,-0.00750661827624,0.00750661257189,1.77168,673.125540338,0.00914522632957,0.0,4074.8322281837463,14.392425775527954,0.09038424491882324,1600.0,0.057116628622,5.88072,24.36435890197754,14.8450767993927
